iter	Passed	Remaining
418	2794	7202
419	2800	7193
420	2809	7192
421	2814	7183
422	2821	7177
423	2828	7170
424	2833	7161
425	2842	7159
426	2848	7151
427	2857	7149
428	2862	7140
429	2868	7130
430	2877	7129
431	2882	7120
432	2891	7118
433	2896	7108
434	2905	7106
435	2910	7096
436	2916	7087
437	2924	7084
438	2930	7075
439	2937	7070
440	2944	7063
441	2949	7054
442	2958	7052
443	2963	7042
444	2972	7040
445	2978	7031
446	2984	7024
447	2991	7018
448	2997	7009
449	3005	7006
450	3011	6997
451	3016	6987
452	3024	6983
453	3031	6976
454	3038	6972
455	3044	6963
456	3052	6959
457	3058	6950
458	3063	6941
459	3071	6936
460	3076	6927
461	3083	6921
462	3090	6915
463	3096	6906
464	3104	6903
465	3110	6895
466	3117	6888
467	3123	6881
468	3129	6872
469	3137	6869
470	3143	6860
471	3151	6857
472	3157	6848
473	3162	6839
474	3171	6836
475	3176	6827
476	3185	6824
477	3191	6816
478	3197	6807
479	3204	6803
480	3210	6794
481	3217	6789
482	3223	6781
483	3229	6772
484	3237	6768
485	3243	6759
486	3251	6756
487	3257	6748
488	3263	6739
489	3270	6734
490	3276	6727
491	3285	6724
492	3291	6715
493	3297	6708
494	3304	6701
495	3309	6692
496	3318	6689
497	3323	6680
498	3330	6674
499	3336	6667
500	3342	6658
501	3350	6654
502	3356	6646
503	3364	6642
504	3370	6635
505	3376	6627
506	3384	6622
507	3390	6613
508	3398	6609
509	3403	6600
510	3409	6591
511	3417	6587
512	3422	6578
513	3429	6572
514	3436	6565
515	3442	6557
516	3450	6553
517	3455	6544
518	3464	6542
519	3470	6534
520	3480	6532
521	3485	6524
522	3491	6515
523	3498	6510
524	3504	6501
525	3510	6494
526	3517	6487
527	3522	6478
528	3531	6476
529	3537	6467
530	3544	6462
531	3550	6454
532	3556	6445
533	3564	6441
534	3570	6433
535	3578	6429
536	3584	6421
537	3589	6412
538	3598	6409
539	3604	6400
540	3612	6396
541	3617	6387
542	3623	6379
543	3630	6373
544	3636	6365
545	3644	6361
546	3650	6353
547	3657	6346
548	3664	6340
549	3669	6332
550	3678	6329
551	3684	6320
552	3690	6313
553	3697	6306
554	3703	6298
555	3710	6293
556	3717	6286
557	3725	6282
558	3731	6275
559	3736	6266
560	3744	6261
561	3751	6254
562	3758	6249
563	3764	6241
564	3770	6232
565	3778	6228
566	3785	6222
567	3793	6217
568	3799	6209
569	3807	6205
570	3813	6197
571	3818	6188
572	3829	6189
573	3837	6184
574	3845	6178
575	3850	6170
576	3859	6166
577	3864	6158
578	3873	6154
579	3878	6145
580	3884	6137
581	3891	6132
582	3897	6124
583	3907	6121
584	3913	6114
585	3922	6110
586	3928	6102
587	3933	6094
588	3942	6091
589	3948	6083
590	3956	6078
591	3961	6069
592	3968	6062
593	3974	6055
594	3980	6047
595	3988	6042
596	3993	6034
597	3999	6025
598	4007	6020
599	4012	6011
