iter	Logloss
0	0.6741780782
1	0.656501858
2	0.6415722876
3	0.6247625559
4	0.6090427556
5	0.5962257181
6	0.5816799992
7	0.5705977665
8	0.560231182
9	0.5506475437
10	0.5413852832
11	0.5310470349
12	0.5208303011
13	0.5121841208
14	0.5015128083
15	0.49032429
16	0.4805788662
17	0.470882207
18	0.4647901864
19	0.4572396873
20	0.4485474563
21	0.4403138671
22	0.4347676903
23	0.4278126959
24	0.4192436682
25	0.4144677735
26	0.4078875867
27	0.4010877736
28	0.3957292271
29	0.3886333306
30	0.382271107
31	0.3786647142
32	0.3725289416
33	0.3679532995
34	0.3638521522
35	0.3582007806
36	0.3554054636
37	0.3503878749
38	0.3452097385
39	0.3409728083
40	0.3368640316
41	0.3321961727
42	0.3299998492
43	0.3255457693
44	0.3215770443
45	0.3177897536
46	0.3139409893
47	0.3103100085
48	0.3082514905
49	0.3046218905
50	0.3015547344
51	0.2988876513
52	0.2964099538
53	0.2941426796
54	0.2912417496
55	0.2894267604
56	0.2870495548
57	0.2842699685
58	0.282367518
59	0.2798730884
60	0.2771499897
61	0.2747251469
62	0.2722794185
63	0.2710563805
64	0.2688561707
65	0.2665639906
66	0.2646718498
67	0.2634250711
68	0.2619937676
69	0.2606681406
70	0.2583721477
71	0.25670869
72	0.2557771617
73	0.2538652241
74	0.2527054905
75	0.2515949001
76	0.2495527447
77	0.2477942052
78	0.2467079595
79	0.2448775316
80	0.2430716083
81	0.2421886887
82	0.2404871475
83	0.2390308219
84	0.2373729263
85	0.235988208
86	0.2346889661
87	0.2338569045
88	0.2328227147
89	0.2316303692
90	0.2309039265
91	0.2296552842
92	0.228560649
93	0.2279645275
94	0.2267009939
95	0.2252575339
96	0.2243580502
97	0.2226858634
98	0.221383679
99	0.2208207166
100	0.219835524
101	0.2192615983
102	0.2181441464
103	0.2176794358
104	0.216433583
105	0.2153978405
106	0.2147589057
107	0.2141357136
108	0.2133132026
109	0.2125600639
110	0.2116054228
111	0.2105264975
112	0.2100565396
113	0.2094272032
114	0.2082884098
115	0.2074853007
116	0.2069035305
117	0.2060437407
118	0.205450201
119	0.2045385509
120	0.2033799915
121	0.202712354
122	0.2021564702
123	0.2012087587
124	0.2007608884
125	0.2000253639
126	0.1995796632
127	0.1991454748
128	0.1987380519
129	0.1979827336
130	0.1970800779
131	0.1967343044
132	0.1960589326
133	0.1955947693
134	0.1951453553
135	0.1945113046
136	0.1936789038
137	0.1930928564
138	0.1926959399
139	0.1922782988
140	0.1919983435
141	0.191232713
142	0.1906566231
143	0.1903475856
144	0.190045125
145	0.1896348162
146	0.189273694
147	0.1886601141
148	0.188299489
149	0.1872126582
150	0.1866158819
151	0.1860899426
152	0.1858053233
153	0.1853554622
154	0.1850046436
155	0.1847301774
156	0.1844502097
157	0.1838278391
158	0.182900818
159	0.1825624285
160	0.1821330541
161	0.1818895383
162	0.1816080904
163	0.1808249291
164	0.18049245
165	0.1800579391
166	0.1798401046
167	0.1794201443
168	0.1791712973
169	0.178317757
170	0.1779267558
171	0.1776448892
172	0.1773169023
173	0.1764777948
174	0.1762792589
175	0.1760123252
176	0.1753839023
177	0.1751910392
178	0.1748303485
179	0.1743534298
180	0.1739977008
181	0.1737522021
182	0.1735679082
183	0.1731349819
184	0.1725885425
185	0.172037363
186	0.1717846521
187	0.1711144461
188	0.1704512939
189	0.1702451389
190	0.1699649645
191	0.1696866916
192	0.1693835222
193	0.1691820193
194	0.16881993
195	0.1685917842
196	0.1683613924
197	0.1681766604
198	0.1679666609
199	0.1677860675
200	0.1676220795
201	0.1669852979
202	0.1667581873
203	0.1666510858
204	0.1664275704
205	0.1662789972
206	0.1660801344
207	0.1656264894
208	0.1651825247
209	0.1650069431
210	0.1644821576
211	0.1643345302
212	0.1638224381
213	0.1633581129
214	0.1631008701
215	0.1626179725
216	0.1621547535
217	0.1617850104
218	0.1616141613
219	0.1614815509
220	0.1611845967
221	0.1608116692
222	0.1605964617
223	0.160120984
224	0.1599780335
225	0.1596075552
226	0.1592249365
227	0.1591126875
228	0.1589070094
229	0.1585928672
230	0.1584302744
231	0.1582653248
232	0.1580662548
233	0.1577410813
234	0.1574497012
235	0.1573148367
236	0.1572199412
237	0.1570968352
238	0.1569694476
239	0.156381019
240	0.1562373136
241	0.1560510915
242	0.1558776621
243	0.1557261047
244	0.1556173312
245	0.155494173
246	0.1553205703
247	0.1549676695
248	0.1547756687
249	0.1544281055
250	0.1542807865
251	0.1541686474
252	0.1538037004
253	0.1536868763
254	0.1535939692
255	0.1533219716
256	0.1531712715
257	0.1530466585
258	0.1529101996
259	0.1528129512
260	0.1527037783
261	0.1523615389
262	0.1520206083
263	0.1518780125
264	0.1517481145
265	0.1516011184
266	0.1514945577
267	0.1511841086
268	0.1508469678
269	0.1505720005
270	0.1504626414
